user_id,email,first_name,last_name,phone,department,role,employee_code,university,campus_location,ugc_net_qualified,phd,aicte_approved,naac_grading,courses_taught,join_date
EDU0001,divya.jain@rediffmail.com,Divya,Jain,+91 9313862505,Management,Professor,FAC2339,Deemed University,Delhi,False,True,False,A,4,2022-09-30T18:49:06.829960
EDU0002,priya.menon@iit.ac.in,Priya,Menon,+91 9884760461,Electrical,Admin Staff,FAC8067,IIIT,Pune,True,False,False,A,2,2016-01-26T18:49:06.829965
EDU0003,meera.gupta@outlook.com,Meera,Gupta,+91 9334303095,Management,Admin Staff,FAC7422,IIIT,Indore,True,True,True,A++,2,2017-03-21T18:49:06.829970
EDU0004,meera.pillai@iit.ac.in,Meera,Pillai,+91 9381251667,Science,HOD,FAC6123,Deemed University,Delhi,True,True,True,A+,5,2022-06-30T18:49:06.829974
EDU0005,rohan.reddy@outlook.com,Rohan,Reddy,+91 9217024220,Computer Science,Lecturer,FAC6465,Private University,Bangalore,False,False,False,A,5,2014-04-28T18:49:06.829978
EDU0006,shreya.nair@yahoo.in,Shreya,Nair,+91 9479558385,Arts,HOD,FAC6370,Deemed University,Hyderabad,True,False,True,B++,4,2015-06-22T18:49:06.829982
EDU0007,kavya.chopra@university.ac.in,Kavya,Chopra,+91 9374106992,Computer Science,Professor,FAC9052,Private University,Nagpur,False,True,False,A,4,2015-07-25T18:49:06.829986
EDU0008,arjun.iyer@gmail.com,Arjun,Iyer,+91 9512568459,Computer Science,HOD,FAC9715,IIIT,Delhi,True,False,False,A+,1,2023-06-05T18:49:06.829990
EDU0009,tanvi.naidu@university.ac.in,Tanvi,Naidu,+91 9296909009,Commerce,Admin Staff,FAC7047,NIT,Bangalore,False,True,True,A+,4,2023-06-28T18:49:06.829995
EDU0010,rahul.joshi@hotmail.com,Rahul,Joshi,+91 9035923357,Computer Science,Lecturer,FAC8330,IIT,Pune,True,True,False,A+,2,2024-01-03T18:49:06.829999
