user_id,email,first_name,last_name,phone,ministry,grade,cadre,designation,office_location,digidocker_id,rti_officer,meity_certified,join_date
GOV0001,tanvi.agarwal@hotmail.com,Tanvi,Agarwal,+91 9943038826,Health,Group B,Central Services,Director,Hyderabad,DD458693,False,False,2016-07-11T18:49:06.800103
GOV0002,gaurav.chopra@outlook.com,Gaurav,Chopra,+91 9765684992,Home Affairs,Group A,Central Services,Deputy Secretary,Bangalore,DD690099,True,False,2019-08-16T18:49:06.800108
GOV0003,pooja.bhatia@yahoo.in,Pooja,Bhatia,+91 9264834218,IT & Electronics,Group B,IAS,Director,Hyderabad,DD641365,True,False,2013-04-07T18:49:06.800113
GOV0004,kavya.chopra@hotmail.com,Kavya,Chopra,+91 9897093323,Home Affairs,Group B,IPS,Under Secretary,Mumbai,DD898564,True,True,2018-03-10T18:49:06.800116
GOV0005,shreya.jain@outlook.com,Shreya,Jain,+91 9838706721,Health,Group D,IPS,Deputy Secretary,Kolkata,DD743406,False,False,2009-02-10T18:49:06.800120
GOV0006,tanvi.bhatia@gov.in,Tanvi,Bhatia,+91 9942040561,Home Affairs,Group C,Central Services,Deputy Secretary,Bangalore,DD832201,False,False,2013-01-08T18:49:06.800123
GOV0007,rajesh.kapoor@yahoo.in,Rajesh,Kapoor,+91 9198881002,Health,Group B,State Services,Joint Secretary,Bangalore,DD382166,False,False,2008-10-16T18:49:06.800127
GOV0008,divya.mittal@hotmail.com,Divya,Mittal,+91 9662304176,IT & Electronics,Group A,Central Services,Director,Hyderabad,DD973350,True,False,2024-03-01T18:49:06.800131
GOV0009,aditya.mehta@gov.in,Aditya,Mehta,+91 9573510221,Finance,Group D,Central Services,Director,Delhi,DD505712,False,True,2008-08-31T18:49:06.800134
GOV0010,akshat.menon@hotmail.com,Akshat,Menon,+91 9097122099,Finance,Group B,Central Services,Additional Secretary,Delhi,DD941317,True,True,2006-12-10T18:49:06.800140
GOV0011,sneha.bhatia@gov.in,Sneha,Bhatia,+91 9515095959,IT & Electronics,Group A,IPS,Deputy Secretary,Hyderabad,DD280259,False,True,2014-11-01T18:49:06.800143
GOV0012,anushka.naidu@outlook.com,Anushka,Naidu,+91 9693077451,Education,Group D,State Services,Joint Secretary,Kolkata,DD331999,False,False,2007-05-15T18:49:06.800147
GOV0013,riya.bansal@gov.in,Riya,Bansal,+91 9467394433,Home Affairs,Group D,Central Services,Deputy Secretary,Hyderabad,DD632617,True,False,2017-07-22T18:49:06.800151
GOV0014,simran.patel@outlook.com,Simran,Patel,+91 9018703627,Health,Group D,IFS,Under Secretary,Kolkata,DD525628,True,False,2021-12-14T18:49:06.800154
GOV0015,meera.bhatia@gov.in,Meera,Bhatia,+91 9520996643,Rural Development,Group B,Central Services,Deputy Secretary,Mumbai,DD133638,True,True,2006-11-04T18:49:06.800158
GOV0016,aakash.tomar@gov.in,Aakash,Tomar,+91 9376195041,Home Affairs,Group C,State Services,Under Secretary,Bangalore,DD765576,True,False,2018-10-02T18:49:06.800161
GOV0017,kritika.mittal@rediffmail.com,Kritika,Mittal,+91 9347330324,IT & Electronics,Group A,Central Services,Deputy Secretary,Kolkata,DD403361,True,True,2024-01-10T18:49:06.800164
GOV0018,akshat.rao@yahoo.in,Akshat,Rao,+91 9742373522,IT & Electronics,Group C,IPS,Joint Secretary,Mumbai,DD301809,True,True,2018-10-19T18:49:06.800168
GOV0019,akshat.shah@hotmail.com,Akshat,Shah,+91 9765938800,Rural Development,Group C,IFS,Joint Secretary,Mumbai,DD209806,True,False,2012-08-07T18:49:06.800172
GOV0020,anjali.jain@outlook.com,Anjali,Jain,+91 9791161332,IT & Electronics,Group D,IFS,Deputy Secretary,Hyderabad,DD381841,True,True,2008-05-18T18:49:06.800175
