timestamp,user_id,action,patient_uhid,patient_aadhar,resource,sensitive_data_accessed,justification,ip_address,location,device,status,risk_score
2026-02-17T02:02:06.739172,MED0036,update_diagnosis,UHID712100,2196 3234 3655,billing,True,Consultation,1.225.53.249,Lucknow,Hospital Workstation,success,19
2026-01-31T15:30:06.739180,MED0064,emergency_access,UHID795113,3136 1919 2011,billing,True,Consultation,103.62.226.212,Visakhapatnam,Mobile,success,81
2026-02-08T02:37:06.739187,MED0025,emergency_access,UHID247311,5845 7063 2587,patient_records,True,Treatment,106.231.15.175,Kolkata,Tablet,success,9
2025-12-25T23:35:06.739193,MED0107,emergency_access,UHID933282,5891 8491 8421,imaging,True,Follow-up,123.241.139.191,Nagpur,Tablet,success,0
2026-02-11T18:52:06.739199,MED0119,update_diagnosis,UHID609232,3877 2200 3233,imaging,True,Treatment,103.207.129.244,Nagpur,Tablet,success,63
2026-01-26T21:21:06.739205,MED0064,prescribe_medication,UHID505838,4125 6984 9403,imaging,True,Emergency,117.44.43.223,Pune,Tablet,success,78
2026-01-15T06:19:06.739210,MED0047,prescribe_medication,UHID387425,6238 7680 5764,prescriptions,True,Emergency,117.105.83.233,Kochi,Hospital Workstation,success,47
2026-02-07T05:17:06.739216,MED0099,view_patient_record,UHID294663,4592 4859 3380,billing,True,Treatment,27.220.1.219,Vadodara,Tablet,success,85
2026-02-17T03:41:06.739221,MED0114,prescribe_medication,UHID401759,9660 1751 2781,billing,True,Follow-up,115.52.249.238,Chandigarh,Hospital Workstation,success,32
2026-01-29T20:39:06.739228,MED0143,view_patient_record,UHID614044,8400 2736 2185,prescriptions,True,Emergency,115.164.7.120,Pune,Tablet,success,30
2026-01-31T16:58:06.739234,MED0048,view_patient_record,UHID979744,7516 5094 3667,lab_results,True,Emergency,106.88.48.165,Coimbatore,Tablet,success,10
2026-02-14T12:48:06.739240,MED0027,ayushman_verify,UHID597918,4752 7889 7349,patient_records,True,Follow-up,115.56.225.151,Indore,Mobile,success,8
2026-01-25T06:18:06.739246,MED0098,update_diagnosis,UHID199180,5437 2050 8103,billing,True,Emergency,106.186.252.11,Delhi,Tablet,success,20
2026-02-11T04:45:06.739251,MED0029,ayushman_verify,UHID800220,3303 2395 6805,patient_records,True,Follow-up,103.206.78.118,Ahmedabad,Hospital Workstation,success,60
2026-02-03T00:10:06.739257,MED0053,ayushman_verify,UHID257024,5241 3367 8066,imaging,True,Follow-up,117.229.143.3,Lucknow,Tablet,success,83
2026-02-18T05:43:06.739262,MED0029,update_diagnosis,UHID232804,7185 9394 8802,lab_results,True,Follow-up,103.54.138.69,Chandigarh,Mobile,success,64
2026-02-12T20:05:06.739267,MED0117,view_lab_results,UHID484838,9623 3056 9071,billing,True,Treatment,123.183.119.56,Coimbatore,Mobile,success,75
2026-01-08T00:36:06.739274,MED0126,discharge_patient,UHID540151,9216 7890 5357,lab_results,True,Treatment,49.34.41.233,Chennai,Mobile,success,8
2026-01-04T16:03:06.739279,MED0002,emergency_access,UHID241586,9641 3472 8851,imaging,True,Consultation,106.179.97.156,Coimbatore,Mobile,success,62
2026-01-09T22:20:06.739284,MED0110,discharge_patient,UHID339381,3569 7906 6031,lab_results,True,Follow-up,106.230.226.55,Mumbai,Hospital Workstation,success,17
2026-01-08T14:18:06.739290,MED0052,prescribe_medication,UHID807902,5386 4921 5630,patient_records,True,Follow-up,117.207.72.197,Visakhapatnam,Tablet,success,61
2025-12-25T20:30:06.739295,MED0136,discharge_patient,UHID647079,8114 1461 6166,imaging,True,Consultation,117.117.40.182,Mumbai,Tablet,success,99
2026-02-09T23:05:06.739301,MED0012,discharge_patient,UHID620104,3351 5975 6464,patient_records,True,Emergency,49.210.3.154,Coimbatore,Hospital Workstation,success,33
2026-01-25T01:45:06.739306,MED0134,view_patient_record,UHID161390,8030 6549 6971,patient_records,True,Emergency,106.111.75.111,Kolkata,Hospital Workstation,success,2
2025-12-27T22:31:06.739312,MED0086,discharge_patient,UHID319736,3523 4028 7870,patient_records,True,Emergency,115.140.199.242,Kolkata,Tablet,success,48
2025-12-21T03:57:06.739317,MED0133,update_diagnosis,UHID452172,5241 6841 9606,imaging,True,Treatment,123.109.9.121,Bangalore,Hospital Workstation,success,48
2026-01-03T18:23:06.739323,MED0079,view_patient_record,UHID572049,6005 2736 7107,billing,True,Follow-up,115.162.67.74,Mumbai,Mobile,success,89
2026-02-13T08:01:06.739328,MED0070,ayushman_verify,UHID994783,7058 1277 8435,prescriptions,True,Follow-up,106.132.156.148,Nagpur,Mobile,success,99
2026-02-13T09:14:06.739333,MED0147,update_diagnosis,UHID936508,2966 7459 6088,lab_results,True,Consultation,103.144.100.103,Kanpur,Tablet,success,10
2025-12-21T05:46:06.739339,MED0020,discharge_patient,UHID152893,3901 3260 3486,imaging,True,Consultation,106.252.80.108,Nagpur,Hospital Workstation,success,35
2025-12-31T01:07:06.739344,MED0025,view_lab_results,UHID168209,5948 9566 1695,billing,True,Follow-up,49.195.52.77,Indore,Mobile,success,14
2026-01-13T10:57:06.739350,MED0020,ayushman_verify,UHID813023,7249 9819 8607,prescriptions,True,Follow-up,27.46.87.233,Kolkata,Mobile,success,54
2026-01-07T10:32:06.739355,MED0125,view_patient_record,UHID423285,8770 2163 9827,imaging,True,Consultation,117.116.26.66,Delhi,Mobile,success,52
2026-01-04T02:01:06.739361,MED0036,discharge_patient,UHID941812,4792 6200 6367,imaging,True,Treatment,27.94.239.9,Coimbatore,Hospital Workstation,denied,76
2026-02-07T20:45:06.739366,MED0022,discharge_patient,UHID257921,6496 6488 4754,prescriptions,True,Emergency,123.147.61.43,Indore,Tablet,success,22
2026-01-15T08:24:06.739372,MED0012,view_lab_results,UHID532448,1711 1057 3494,billing,True,Consultation,27.35.35.214,Bangalore,Mobile,success,16
2026-01-28T17:40:06.739377,MED0008,view_patient_record,UHID919631,7157 2473 6493,prescriptions,True,Consultation,123.237.228.172,Bangalore,Mobile,success,6
2026-02-11T02:15:06.739383,MED0080,prescribe_medication,UHID594633,7656 5755 8074,billing,True,Treatment,103.129.164.40,Nagpur,Hospital Workstation,success,13
2025-12-28T09:03:06.739389,MED0129,prescribe_medication,UHID875383,7299 5530 2536,lab_results,True,Follow-up,123.54.54.33,Kolkata,Hospital Workstation,success,33
2026-01-25T11:23:06.739394,MED0143,emergency_access,UHID543812,9260 1543 3870,billing,True,Consultation,49.137.175.194,Coimbatore,Mobile,success,98
2025-12-29T12:55:06.739400,MED0115,prescribe_medication,UHID531964,6679 9012 1623,patient_records,True,Consultation,106.71.148.73,Pune,Hospital Workstation,success,4
2026-01-05T16:22:06.739406,MED0139,view_patient_record,UHID145496,7733 3916 5033,billing,True,Consultation,106.46.99.98,Bangalore,Tablet,success,1
2026-01-19T10:09:06.739411,MED0002,update_diagnosis,UHID765640,3430 3032 3460,patient_records,True,Follow-up,106.18.25.178,Visakhapatnam,Tablet,success,41
2026-01-27T06:59:06.739417,MED0115,view_patient_record,UHID446622,7319 3265 4087,billing,True,Consultation,115.213.158.229,Indore,Mobile,success,94
2026-01-29T04:17:06.739422,MED0073,ayushman_verify,UHID933925,7128 1112 6509,patient_records,True,Treatment,49.31.183.97,Mumbai,Hospital Workstation,success,49
2025-12-29T14:03:06.739428,MED0104,ayushman_verify,UHID828134,6572 2592 1896,lab_results,True,Treatment,49.127.12.131,Bhopal,Hospital Workstation,success,0
2026-01-24T02:50:06.739433,MED0042,prescribe_medication,UHID603745,7863 7880 8303,patient_records,True,Follow-up,27.45.28.131,Delhi,Mobile,success,8
2026-01-09T13:52:06.739439,MED0002,view_lab_results,UHID690679,8108 9117 3803,lab_results,True,Consultation,49.179.59.88,Bhopal,Hospital Workstation,denied,33
2025-12-31T00:44:06.739445,MED0052,prescribe_medication,UHID560414,2256 1819 1865,lab_results,True,Consultation,115.20.171.226,Kochi,Hospital Workstation,success,82
2026-01-13T10:34:06.739451,MED0079,ayushman_verify,UHID756215,8991 5659 9039,prescriptions,True,Treatment,106.106.205.231,Kochi,Tablet,success,79
2026-01-24T19:36:06.739457,MED0048,emergency_access,UHID494081,4808 5125 2310,patient_records,True,Consultation,123.182.214.69,Hyderabad,Mobile,success,6
2026-02-01T12:04:06.739465,MED0111,ayushman_verify,UHID338482,1422 6656 5832,patient_records,True,Follow-up,106.189.51.71,Vadodara,Hospital Workstation,success,71
2026-02-10T08:23:06.739470,MED0046,view_lab_results,UHID899521,5038 5058 1604,patient_records,True,Emergency,123.142.37.24,Visakhapatnam,Tablet,success,45
2025-12-21T03:34:06.739476,MED0050,view_lab_results,UHID218119,8921 5767 3568,patient_records,True,Treatment,49.67.52.197,Coimbatore,Mobile,success,55
2026-02-19T00:12:06.739482,MED0061,view_lab_results,UHID619349,1646 8701 4115,billing,True,Consultation,49.51.119.24,Mumbai,Hospital Workstation,success,72
2026-01-01T01:16:06.739487,MED0138,view_lab_results,UHID907058,8039 4186 6454,billing,True,Consultation,117.72.115.3,Visakhapatnam,Tablet,success,57
2026-02-04T04:03:06.739493,MED0078,prescribe_medication,UHID613234,1590 7478 5154,lab_results,True,Emergency,49.211.106.131,Kanpur,Hospital Workstation,success,25
2026-02-14T23:44:06.739498,MED0029,update_diagnosis,UHID414475,5338 3168 4143,billing,True,Treatment,27.169.141.15,Ahmedabad,Hospital Workstation,success,34
2026-02-03T05:33:06.739503,MED0027,prescribe_medication,UHID291999,3543 6963 7058,billing,True,Emergency,123.255.37.231,Chandigarh,Hospital Workstation,denied,1
2026-02-02T16:07:06.739510,MED0121,prescribe_medication,UHID210668,5810 9487 7305,lab_results,True,Follow-up,1.67.146.83,Pune,Mobile,success,21
2026-02-11T22:22:06.739515,MED0147,discharge_patient,UHID554974,1937 5415 1195,patient_records,True,Emergency,106.229.21.17,Visakhapatnam,Hospital Workstation,success,47
2025-12-26T10:08:06.739521,MED0023,emergency_access,UHID933898,8636 5637 5243,patient_records,True,Treatment,103.162.129.176,Ahmedabad,Mobile,success,85
2026-02-08T19:57:06.739527,MED0042,update_diagnosis,UHID537747,5901 4043 4631,lab_results,True,Follow-up,123.152.157.200,Kanpur,Hospital Workstation,success,28
2025-12-24T12:30:06.739532,MED0129,emergency_access,UHID604715,7953 5587 6253,lab_results,True,Emergency,123.163.102.187,Visakhapatnam,Tablet,success,99
2026-01-10T05:01:06.739538,MED0047,update_diagnosis,UHID563573,2034 7231 5716,billing,True,Consultation,1.176.62.74,Kanpur,Tablet,success,51
2026-02-17T08:28:06.739543,MED0035,view_lab_results,UHID339894,9245 6951 6816,prescriptions,True,Consultation,117.31.112.239,Jaipur,Tablet,success,32
2026-01-11T00:27:06.739548,MED0071,discharge_patient,UHID923772,6478 4466 2718,patient_records,True,Treatment,1.27.106.38,Bangalore,Hospital Workstation,success,98
2025-12-23T21:52:06.739554,MED0110,view_patient_record,UHID574417,7874 3283 6840,patient_records,True,Follow-up,1.51.15.38,Chandigarh,Mobile,success,31
2026-02-10T05:29:06.739560,MED0056,view_patient_record,UHID946096,3314 9201 2564,patient_records,True,Treatment,115.145.245.20,Mumbai,Tablet,success,37
2025-12-31T10:54:06.739565,MED0010,prescribe_medication,UHID948025,1869 1938 9876,imaging,True,Follow-up,106.169.39.81,Pune,Mobile,success,48
2025-12-25T11:00:06.739571,MED0040,update_diagnosis,UHID352603,4454 7307 5522,imaging,True,Consultation,27.159.220.238,Kanpur,Mobile,denied,72
2026-01-27T09:16:06.739576,MED0037,view_patient_record,UHID684615,9585 6934 1842,imaging,True,Emergency,123.188.237.154,Bangalore,Tablet,success,82
2026-01-20T03:39:06.739582,MED0015,ayushman_verify,UHID535452,3107 6971 4054,lab_results,True,Emergency,103.207.213.38,Bhopal,Hospital Workstation,success,4
2026-02-15T14:00:06.739587,MED0125,view_patient_record,UHID139061,1204 5657 1749,imaging,True,Consultation,123.66.74.123,Chennai,Mobile,success,41
2026-01-19T01:53:06.739592,MED0058,view_patient_record,UHID450601,9274 8712 9275,imaging,True,Emergency,27.27.179.60,Kochi,Tablet,denied,88
2026-01-21T18:06:06.739598,MED0104,view_lab_results,UHID297630,8877 4109 8246,billing,True,Follow-up,115.72.20.52,Indore,Tablet,success,90
2026-01-14T10:06:06.739603,MED0148,emergency_access,UHID523777,7048 1541 2445,lab_results,True,Emergency,49.247.74.246,Kolkata,Hospital Workstation,success,34
2025-12-22T01:35:06.739609,MED0119,view_patient_record,UHID420946,1798 8122 3486,imaging,True,Emergency,49.118.202.80,Surat,Hospital Workstation,success,60
2025-12-21T22:31:06.739614,MED0126,view_lab_results,UHID455213,5515 2989 9212,billing,True,Emergency,106.2.31.151,Pune,Hospital Workstation,success,76
2026-01-31T19:16:06.739620,MED0100,prescribe_medication,UHID902707,2065 8795 6821,prescriptions,True,Emergency,49.117.33.161,Kolkata,Tablet,success,41
2026-01-02T12:46:06.739626,MED0008,view_patient_record,UHID670524,8635 4283 8792,imaging,True,Treatment,123.240.242.15,Pune,Hospital Workstation,success,14
2025-12-23T02:00:06.739631,MED0087,ayushman_verify,UHID319569,7622 4411 1650,lab_results,True,Emergency,49.219.238.251,Jaipur,Hospital Workstation,denied,49
2026-01-17T21:10:06.739637,MED0006,prescribe_medication,UHID656672,9530 4845 4953,imaging,True,Emergency,117.224.162.2,Indore,Hospital Workstation,success,37
2026-01-16T02:16:06.739643,MED0119,view_patient_record,UHID113353,7386 6658 2179,lab_results,True,Treatment,117.141.83.145,Indore,Tablet,denied,99
2026-02-03T05:58:06.739648,MED0004,view_lab_results,UHID946885,9983 7374 4347,billing,True,Follow-up,27.199.39.16,Bhopal,Mobile,success,12
2026-01-20T23:33:06.739654,MED0044,view_lab_results,UHID749804,3005 8719 7955,prescriptions,True,Consultation,123.112.33.105,Chennai,Tablet,success,79
2026-01-09T15:16:06.739659,MED0026,prescribe_medication,UHID898374,6949 7818 3094,lab_results,True,Emergency,1.121.56.103,Visakhapatnam,Hospital Workstation,success,4
2026-02-10T21:30:06.739665,MED0061,view_lab_results,UHID772954,9049 1967 5164,patient_records,True,Consultation,117.100.26.126,Surat,Tablet,success,76
2026-02-19T12:27:06.739670,MED0009,discharge_patient,UHID743869,3769 1330 7006,imaging,True,Treatment,1.67.79.107,Ahmedabad,Mobile,success,26
2026-01-18T11:09:06.739677,MED0014,view_lab_results,UHID621120,2085 7708 5262,lab_results,True,Consultation,106.51.75.162,Kanpur,Mobile,success,78
2026-01-08T14:55:06.739683,MED0138,discharge_patient,UHID828473,3718 4093 4111,patient_records,True,Follow-up,103.101.26.139,Chandigarh,Mobile,success,96
2026-02-03T21:44:06.739688,MED0096,view_lab_results,UHID191624,5782 1352 3786,patient_records,True,Consultation,1.25.7.207,Surat,Hospital Workstation,success,52
2025-12-24T03:15:06.739693,MED0019,view_lab_results,UHID206275,3764 9401 5094,lab_results,True,Emergency,1.141.191.66,Chennai,Mobile,success,93
2026-01-08T16:02:06.739699,MED0053,discharge_patient,UHID600656,9181 9468 2798,imaging,True,Emergency,117.140.81.122,Indore,Tablet,success,43
