user_id,email,first_name,last_name,phone,department,role,medical_council_reg,hospital,hospital_location,specialization,nabh_trained,ayushman_bharat_certified,shift,join_date
MED0001,neha.malhotra@hotmail.com,Neha,Malhotra,+91 9676149462,Surgery,Pharmacist,MCI197776,AIIMS,Jaipur,Neurology,True,False,Morning,2023-03-10T18:49:06.738574
MED0002,tanvi.gupta@rediffmail.com,Tanvi,Gupta,+91 9464967730,Surgery,Doctor,MCI693516,Fortis,Kochi,Cardiology,True,True,Night,2019-05-16T18:49:06.738581
MED0003,priya.reddy@rediffmail.com,Priya,Reddy,+91 9440579732,ICU,Medical Officer,MCI293848,Fortis,Visakhapatnam,Surgery,False,True,Night,2024-01-01T18:49:06.738586
MED0004,kavya.iyer@outlook.com,Kavya,Iyer,+91 9255311289,Emergency,Staff Nurse,MCI911121,Manipal,Bangalore,Pediatrics,False,True,Night,2017-11-09T18:49:06.738591
MED0005,isha.iyer@rediffmail.com,Isha,Iyer,+91 9514710087,Pharmacy,Pharmacist,MCI446644,Manipal,Kochi,General Medicine,True,False,Night,2021-01-02T18:49:06.738595
MED0006,nandini.singh@rediffmail.com,Nandini,Singh,+91 9869392487,OPD,Surgeon,MCI595302,Max Healthcare,Indore,Cardiology,True,True,Morning,2016-07-06T18:49:06.738599
MED0007,tanvi.verma@gmail.com,Tanvi,Verma,+91 9533158578,Emergency,Nurse,MCI121983,Max Healthcare,Pune,Neurology,True,False,Evening,2016-06-02T18:49:06.738604
MED0008,kritika.sharma@outlook.com,Kritika,Sharma,+91 9072667229,Emergency,Doctor,MCI856183,Max Healthcare,Kochi,Pediatrics,True,False,Morning,2025-05-11T18:49:06.738608
MED0009,siddharth.chopra@yahoo.in,Siddharth,Chopra,+91 9572592504,Pharmacy,Surgeon,MCI163722,Govt Hospital,Bhopal,Neurology,False,True,Night,2022-09-13T18:49:06.738612
MED0010,sanjay.desai@hotmail.com,Sanjay,Desai,+91 9547675950,ICU,Medical Officer,MCI731423,Apollo,Nagpur,Pediatrics,True,False,Evening,2019-05-13T18:49:06.738615
MED0011,shreya.verma@hotmail.com,Shreya,Verma,+91 9124433707,Cardiology,Pharmacist,MCI344544,Apollo,Jaipur,Surgery,False,False,Morning,2022-06-24T18:49:06.738619
MED0012,varun.nair@hotmail.com,Varun,Nair,+91 9031366478,OPD,Radiologist,MCI593867,Govt Hospital,Bhopal,General Medicine,True,False,Rotating,2024-09-27T18:49:06.738623
MED0013,gaurav.tomar@gmail.com,Gaurav,Tomar,+91 9937518481,Surgery,Doctor,MCI354280,Govt Hospital,Visakhapatnam,Surgery,True,True,Rotating,2018-09-03T18:49:06.738628
MED0014,preeti.naidu@hotmail.com,Preeti,Naidu,+91 9032234250,Cardiology,Doctor,MCI702153,AIIMS,Bhopal,Pediatrics,True,False,Night,2025-07-05T18:49:06.738632
MED0015,rajesh.pareek@rediffmail.com,Rajesh,Pareek,+91 9795012901,Pharmacy,Doctor,MCI714086,Fortis,Indore,Pediatrics,False,False,Morning,2022-04-22T18:49:06.738636
MED0016,anushka.jain@hotmail.com,Anushka,Jain,+91 9013530631,Pediatrics,Staff Nurse,MCI481025,Govt Hospital,Kanpur,Cardiology,False,False,Evening,2020-11-23T18:49:06.738640
MED0017,aakash.pillai@gmail.com,Aakash,Pillai,+91 9298441683,Emergency,Surgeon,MCI220630,Manipal,Mumbai,Cardiology,True,True,Rotating,2018-06-10T18:49:06.738644
MED0018,neha.kulkarni@rediffmail.com,Neha,Kulkarni,+91 9735614224,OPD,Pharmacist,MCI763860,Max Healthcare,Ahmedabad,General Medicine,False,True,Night,2023-07-17T18:49:06.738648
MED0019,anjali.kumar@gmail.com,Anjali,Kumar,+91 9031501212,Pharmacy,Doctor,MCI989126,Manipal,Indore,Neurology,True,True,Night,2020-02-18T18:49:06.738652
MED0020,nikhil.chopra@gmail.com,Nikhil,Chopra,+91 9737401489,Surgery,Nurse,MCI918151,Max Healthcare,Surat,Neurology,True,True,Night,2021-10-24T18:49:06.738656
MED0021,shreya.kumar@yahoo.in,Shreya,Kumar,+91 9223299527,Pharmacy,Medical Officer,MCI842059,AIIMS,Mumbai,Pediatrics,True,True,Evening,2021-03-01T18:49:06.738660
MED0022,ananya.patel@gmail.com,Ananya,Patel,+91 9929203775,Emergency,Nurse,MCI852328,AIIMS,Lucknow,Cardiology,True,True,Morning,2020-08-18T18:49:06.738664
MED0023,manish.menon@hotmail.com,Manish,Menon,+91 9476087497,Pharmacy,Medical Officer,MCI584913,AIIMS,Vadodara,Pediatrics,False,False,Evening,2021-12-08T18:49:06.738668
MED0024,akshat.tomar@rediffmail.com,Akshat,Tomar,+91 9072577959,Cardiology,Radiologist,MCI459373,Manipal,Bhopal,Surgery,True,True,Evening,2024-09-18T18:49:06.738672
MED0025,shreya.verma@gmail.com,Shreya,Verma,+91 9894935364,Surgery,Staff Nurse,MCI617454,Manipal,Pune,General Medicine,True,False,Rotating,2025-04-05T18:49:06.738676
MED0026,mohit.kumar@hotmail.com,Mohit,Kumar,+91 9665009042,ICU,Medical Officer,MCI215816,Max Healthcare,Indore,Neurology,False,True,Evening,2017-01-17T18:49:06.738680
MED0027,abhinav.bansal@gmail.com,Abhinav,Bansal,+91 9319086101,OPD,Doctor,MCI238678,Fortis,Lucknow,General Medicine,True,False,Night,2019-08-16T18:49:06.738684
MED0028,anjali.gupta@rediffmail.com,Anjali,Gupta,+91 9131416700,ICU,Surgeon,MCI161132,Manipal,Pune,Neurology,False,False,Night,2023-09-25T18:49:06.738688
