user_id,email,first_name,last_name,phone,police_id,rank,department,station,station_location,state_cadre,weapon_authorized,cctns_access,icjs_certified,years_of_service,join_date
POL0001,pooja.desai@gmail.com,Pooja,Desai,+91 9225532809,PID73975,Inspector,Cyber Crime,Delhi Police,Bhopal,Telangana,False,True,True,6,2018-08-12T18:49:06.780990
POL0002,akshat.pillai@outlook.com,Akshat,Pillai,+91 9152446694,PID93507,ACP,Forensics,Delhi Police,Hyderabad,Telangana,True,True,False,23,2002-01-15T18:49:06.780995
POL0003,arjun.malhotra@rediffmail.com,Arjun,Malhotra,+91 9161435518,PID95278,Head Constable,Control Room,Chennai Police,Vadodara,Delhi,False,True,True,21,1997-06-21T18:49:06.780999
POL0004,isha.shah@hotmail.com,Isha,Shah,+91 9954138031,PID86096,Head Constable,Crime Branch,Hyderabad Police,Hyderabad,Tamil Nadu,True,True,False,28,2013-11-03T18:49:06.781003
POL0005,harsh.luniya@outlook.com,Harsh,Luniya,+91 9510990649,PID12505,Inspector,Crime Branch,Bangalore Police,Ahmedabad,Delhi,True,True,True,22,2006-04-26T18:49:06.781008
POL0006,nandini.bhatia@rediffmail.com,Nandini,Bhatia,+91 9875836445,PID77178,DCP,Traffic Police,Mumbai Police,Chennai,Karnataka,True,True,True,10,2012-04-23T18:49:06.781012
POL0007,nandini.khanna@outlook.com,Nandini,Khanna,+91 9131902665,PID42264,DCP,Forensics,Delhi Police,Nagpur,Tamil Nadu,True,True,False,19,2010-06-29T18:49:06.781016
POL0008,rahul.sharma@hotmail.com,Rahul,Sharma,+91 9249885989,PID36027,DCP,Traffic Police,Mumbai Police,Pune,Maharashtra,False,True,False,3,2013-06-17T18:49:06.781019
POL0009,nandini.pareek@rediffmail.com,Nandini,Pareek,+91 9111936537,PID82635,DCP,Crime Branch,Mumbai Police,Mumbai,Telangana,False,True,False,13,2023-12-31T18:49:06.781023
POL0010,tanvi.kulkarni@rediffmail.com,Tanvi,Kulkarni,+91 9016208154,PID98339,DCP,Forensics,Hyderabad Police,Vadodara,Tamil Nadu,False,True,True,4,2017-09-13T18:49:06.781027
POL0011,abhinav.kapoor@yahoo.in,Abhinav,Kapoor,+91 9028478148,PID97945,Superintendent,Control Room,Bangalore Police,Indore,Tamil Nadu,True,True,True,23,2001-09-25T18:49:06.781031
POL0012,riya.pillai@hotmail.com,Riya,Pillai,+91 9050691467,PID44016,Head Constable,Cyber Crime,Bangalore Police,Kolkata,Delhi,True,True,False,3,1997-04-16T18:49:06.781034
POL0013,divya.chopra@gmail.com,Divya,Chopra,+91 9716955698,PID84725,Constable,Special Branch,Hyderabad Police,Kolkata,Telangana,False,True,False,18,2005-08-21T18:49:06.781038
POL0014,manish.patel@rediffmail.com,Manish,Patel,+91 9188547150,PID47318,Head Constable,Cyber Crime,Delhi Police,Jaipur,Maharashtra,False,True,False,6,2015-05-18T18:49:06.781041
POL0015,anjali.kumar@yahoo.in,Anjali,Kumar,+91 9052098104,PID94145,Inspector,Special Branch,Bangalore Police,Coimbatore,Karnataka,True,True,True,19,2010-03-04T18:49:06.781045
POL0016,kavya.gupta@yahoo.in,Kavya,Gupta,+91 9311547739,PID19366,DCP,Traffic Police,Delhi Police,Jaipur,Maharashtra,True,True,True,15,2001-04-09T18:49:06.781048
POL0017,preeti.sharma@yahoo.in,Preeti,Sharma,+91 9548900136,PID69205,DCP,Cyber Crime,Delhi Police,Kanpur,Tamil Nadu,True,True,False,13,2015-11-18T18:49:06.781052
POL0018,anjali.bansal@outlook.com,Anjali,Bansal,+91 9976147881,PID14513,ACP,Crime Branch,Mumbai Police,Nagpur,Tamil Nadu,True,True,True,7,2014-06-25T18:49:06.781056
POL0019,pooja.chopra@outlook.com,Pooja,Chopra,+91 9793667441,PID28647,Constable,Special Branch,Bangalore Police,Ahmedabad,Karnataka,False,True,True,10,2017-05-27T18:49:06.781060
POL0020,anjali.joshi@hotmail.com,Anjali,Joshi,+91 9398897702,PID51772,Head Constable,Control Room,Bangalore Police,Surat,Delhi,True,True,True,25,2006-09-20T18:49:06.781063
POL0021,vikram.gandhi@yahoo.in,Vikram,Gandhi,+91 9142261003,PID59946,Superintendent,Special Branch,Mumbai Police,Hyderabad,Delhi,True,True,False,20,1996-09-13T18:49:06.781067
POL0022,isha.sharma@rediffmail.com,Isha,Sharma,+91 9327189153,PID35782,Head Constable,Traffic Police,Chennai Police,Chennai,Telangana,True,True,False,30,2010-09-03T18:49:06.781070
POL0023,kritika.agarwal@hotmail.com,Kritika,Agarwal,+91 9973385942,PID89109,ACP,Forensics,Bangalore Police,Delhi,Telangana,True,True,False,21,2015-05-01T18:49:06.781074
POL0024,neha.mittal@yahoo.in,Neha,Mittal,+91 9446969503,PID43723,Superintendent,Traffic Police,Mumbai Police,Pune,Tamil Nadu,False,True,True,8,1997-10-28T18:49:06.781077
POL0025,aakash.joshi@rediffmail.com,Aakash,Joshi,+91 9580310557,PID55344,Constable,Special Branch,Hyderabad Police,Mumbai,Maharashtra,True,True,False,17,1996-07-22T18:49:06.781080
POL0026,nandini.chopra@gmail.com,Nandini,Chopra,+91 9099438152,PID51035,Head Constable,Forensics,Chennai Police,Lucknow,Telangana,True,True,True,6,1999-06-10T18:49:06.781084
POL0027,vikram.jain@yahoo.in,Vikram,Jain,+91 9889844104,PID15591,Head Constable,Crime Branch,Delhi Police,Jaipur,Telangana,False,True,True,9,2006-04-28T18:49:06.781087
POL0028,gaurav.chopra@yahoo.in,Gaurav,Chopra,+91 9029371954,PID25372,Sub-Inspector,Cyber Crime,Chennai Police,Bhopal,Telangana,False,True,True,8,1999-06-04T18:49:06.781091
